nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par ,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,quant_viagem
 JOSÉ ALFONSO EBERT HAMM,M,82,10,9,23,19,4,25/04/1962,360946.22,26704.69,38280.59,55051.73,63625.31,51839.35,42409.07,42196.47,28571.5,8175.08,2806.25,1286.18,33763.0,1113027.42,111586.8,111586.8,111586.8,109249.43,111405.22,111659.59,111016.81,111616.75,111659.61,111659.61,0
 ADOLFO VIANA DE CASTRO NETO,M,74,18,18,3,2,0,02/02/1981,325687.23,52708.8,40019.47,45679.91,28915.46,51013.39,21158.76,53593.14,17135.9,6189.67,9272.73,0.0,33763.0,1038693.82,99324.67,102260.18,104117.05,105126.72,105126.72,104072.48,102746.18,105126.72,105126.72,105666.38,0
 ADRIANO ANTÔNIO AVELAR,M,84,8,7,9,0,0,06/09/1969,240672.02,26827.37,31162.48,34102.08,32659.2,43822.18,18733.88,26482.48,14069.31,6697.41,6115.63,0.0,33763.0,1091517.67,109773.26,106916.25,106916.25,107440.95,110064.42,109807.22,110492.94,109977.54,110064.42,110064.42,0
 ACÁCIO DA SILVA FAVACHO NETO,M,62,30,30,7,23,10,28/09/1983,374453.68,55593.56,68164.59,36043.19,33949.34,34152.0,31013.23,28767.5,36398.45,24232.9,26138.92,0.0,33763.0,1102803.66,111580.74,110219.17,111580.74,111580.74,111616.38,111344.83,104998.59,107400.25,111241.11,111241.11,0
 AFONSO ANTUNES DA MOTTA,M,90,2,0,33,26,10,08/01/1950,369824.33,32139.72,33987.87,68366.38,63600.42,35921.8,29311.4,34287.44,24321.7,17123.36,28380.57,2383.67,33763.0,1032442.88,104034.98,104034.98,103913.86,100280.23,99498.32,99974.51,104249.61,105630.26,105630.26,105195.87,0
 AELTON JOSÉ DE FREITAS,M,83,9,2,22,16,2,15/12/1961,371470.66,37592.87,44508.37,46095.45,33084.47,49928.24,19715.12,38644.85,22680.38,19806.39,58251.64,1162.88,33763.0,1102022.19,111326.04,111343.59,111629.35,111629.35,111457.94,111397.84,107361.35,107874.6,107874.6,110127.53,0
 AFONSO BANDEIRA FLORENCE,M,79,13,13,7,17,2,15/10/1960,326342.2,49117.18,40471.77,63232.46,51564.67,16600.9,32319.33,21335.62,19915.04,12458.57,19326.66,0.0,33763.0,1113757.81,111448.69,111580.78,111503.72,111580.81,111279.06,111350.26,110053.76,111653.57,111653.58,111653.58,0
 PAULO SERGIO ABOU ANNI,M,87,5,3,22,14,1,06/11/1966,302280.85,27405.24,16072.33,68763.27,67772.79,75533.07,13287.62,13475.02,2147.73,3052.73,13667.56,1103.49,33763.0,1106081.53,110146.28,109221.14,108215.19,111647.46,111647.46,111647.46,111520.66,110906.26,111574.67,109554.95,0
 ALESSANDRO LUCCIOLA MOLON,M,91,1,0,12,28,0,28/10/1971,264688.99,31570.48,30384.44,50567.81,42126.95,31402.04,27611.34,29589.18,10440.68,857.51,10138.56,0.0,33763.0,1030438.74,101372.0,101372.0,101372.0,101372.0,106377.09,105013.12,107668.34,104046.06,98184.61,103661.52,0
 AIRTON LUIZ FALEIRO,M,80,12,2,39,35,1,16/03/1959,322175.7,35394.75,15750.75,52334.7,69448.32,59994.95,30701.91,23743.07,13560.75,10000.01,11246.49,0.0,33763.0,1106094.83,110495.06,109093.86,108711.72,110056.29,111289.65,111289.65,111289.65,111289.65,111289.65,111289.65,0
